INVESTIMENT,GROUP,COMPANY,CURRENT VALUE (R$),DIVIDEND YIELD %,DATE COM,DATE OF PAYMENT,VALUE OF PAYMENT (R$),DATE/TIME
BBRC11,REAL ESTATE FUNDS,BBRC11 - BB Renda Corporativa,"113,30","11,07",29/09/2023,16/10/2023,"1,13000000",2023-10-09 23:11:33
DEVA11,REAL ESTATE FUNDS,DEVA11 - DEVANT RECEBÍVEIS IMOBILIÁRIOS,"40,30","21,76",06/10/2023,16/10/2023,"0,49000000",2023-10-09 23:11:34
EGIE3,PUBLIC UTILITY,EGIE3 - ENGIE BRASIL,"41,25","8,60",21/08/2023,-,"0,94027880",2023-10-09 23:11:34
TAEE4,PUBLIC UTILITY,TAEE4 - TAESA,"11,39","9,90",07/08/2023,29/08/2023,"0,09404222",2023-10-09 23:11:35
BTLG11,REAL ESTATE FUNDS,BTLG11 - BTG PACTUAL LOGISTICA FDO INV IMOB - FII,"100,90","8,86",15/09/2023,25/09/2023,"0,76000000",2023-10-09 23:11:36
RECR11,REAL ESTATE FUNDS,RECR11 - FII REC Recebíveis Imobiliários,"85,98","12,16",06/10/2023,16/10/2023,"0,74930000",2023-10-09 23:11:37
MALL11,REAL ESTATE FUNDS,MALL11 - Malls Brasil Plural,"115,33","8,27",29/09/2023,16/10/2023,"0,85000000",2023-10-09 23:11:38
HCTR11,REAL ESTATE FUNDS,HCTR11 - HECTARE CE - FDO INV IMOB,"31,42","25,27",06/10/2023,16/10/2023,"0,27000000",2023-10-09 23:11:39
VGIP11,REAL ESTATE FUNDS,VGIP11 - VALORA CRI ÍNDICE DE PREÇO,"90,44","10,75",13/09/2023,20/09/2023,"0,64000000",2023-10-09 23:11:39
WEGE3,GOODS AND INDUSTRY,WEGE3 - WEG,"34,94","1,71",22/09/2023,13/03/2024,"0,05982353",2023-10-09 23:11:40
FLRY3,HEALTH,FLRY3 - FLEURY,"15,60","2,97",04/09/2023,31/10/2023,"0,16922113",2023-10-09 23:11:41
CMIG4,PUBLIC UTILITY,CMIG4 - CEMIG,"12,37","7,40",23/06/2023,30/06/2024,"0,09695370",2023-10-09 23:11:42
